!	Robot Arm Test Set						
!@	torque	theta	omega	x1(t+1)	x2(t+1)	theta(t+1)	omega(t+1)
	0.5	0	0	1.99999722222287	0.00333333179012367	0.00166666666666667	0.0333333333333333
	0.5	0.00166666666666667	0.0333333333333333	1.99995555572016	0.0133332345681207	0.00666666666666667	0.0666666666666667
	0.5	0.00666666666666667	0.0666666666666667	1.99977500421872	0.0299988750126562	0.015	0.1
	0.5	0.015	0.1	1.99928893102781	0.0533270125704214	0.0266666666666667	0.133333333333333
	0.5	0.0266666666666667	0.133333333333333	1.99826414004784	0.0833092227720382	0.0416666666666667	0.166666666666667
	0.5	0.0416666666666667	0.166666666666667	1.99640107987041	0.119928012958889	0.06	0.2
	0.5	0.06	0.2	1.99333426152235	0.163151836769204	0.0816666666666667	0.233333333333333
	0.5	0.0816666666666667	0.233333333333333	1.9886330059506	0.212929020201259	0.106666666666667	0.266666666666667
	0.5	0.106666666666667	0.266666666666667	1.9818026624091	0.269180622014697	0.135	0.3
	0.5	0.135	0.3	1.97228646312585	0.33179226538683	0.166666666666667	0.333333333333333
	0.5	0.166666666666667	0.333333333333333	1.95946820247989	0.400604996811354	0.201666666666667	0.366666666666667
	1.5	0	0	1.99997500005208	0.00999995833338542	0.005	0.1
	1.5	0.005	0.1	1.99960001333316	0.0399973333866662	0.02	0.2
	1.5	0.02	0.2	1.99797534169569	0.0899696280753205	0.045	0.3
	1.5	0.045	0.3	1.99360341260524	0.159829387938345	0.08	0.4
	1.5	0.08	0.4	1.98439533445866	0.249349466770455	0.125	0.5
	1.5	0.125	0.5	1.96768738557624	0.358059146851648	0.18	0.6
	1.5	0.18	0.6	1.94027464994527	0.485112649577144	0.245	0.7
	1.5	0.245	0.7	1.89847083616488	0.629133121232236	0.32	0.8
	1.5	0.32	0.8	1.83820479433155	0.788037520741561	0.405	0.9
	1.5	0.405	0.9	1.75516512378075	0.958851077208406	0.5	1
	1.5	0.5	1	1.64500419526476	1.1375241525178	0.605	1.1
	2.5	0	0	1.99993055595743	0.0166664737661019	0.00833333333333334	0.166666666666667
	2.5	0.00833333333333334	0.166666666666667	1.99888899176574	0.0666543216735073	0.0333333333333333	0.333333333333333
	2.5	0.0333333333333333	0.333333333333333	1.99437763622442	0.149859414545485	0.075	0.5
	2.5	0.075	0.5	1.98224854406836	0.265877245244628	0.133333333333333	0.666666666666667
	2.5	0.133333333333333	0.666666666666667	1.95675397870751	0.413659119097282	0.208333333333333	0.833333333333333
	2.5	0.208333333333333	0.833333333333333	1.91067297825121	0.591040413322679	0.3	1
	2.5	0.3	1	1.83556779522077	0.79416048072689	0.408333333333333	1.16666666666667
	2.5	0.408333333333333	1.16666666666667	1.72223433825962	1.0168131018626	0.533333333333333	1.33333333333333
	2.5	0.533333333333333	1.33333333333333	1.56141390226489	1.2497946334554	0.675	1.5
	2.5	0.675	1.5	1.34482448816611	1.48035370639207	0.833333333333333	1.66666666666667
	2.5	0.833333333333333	1.66666666666667	1.06654273686671	1.69188846867542	1.00833333333333	1.83333333333333
	3.5	0	0	1.99986389043273	0.023332804015948	0.0116666666666667	0.233333333333333
	3.5	0.0116666666666667	0.233333333333333	1.99782261741987	0.0932994604787114	0.0466666666666667	0.466666666666667
	3.5	0.0466666666666667	0.466666666666667	1.98898512549699	0.209614337657765	0.105	0.7
	3.5	0.105	0.7	1.96525661605473	0.371169008745498	0.186666666666667	0.933333333333334
	3.5	0.186666666666667	0.933333333333334	1.91553191559507	0.575097800671056	0.291666666666667	1.16666666666667
	3.5	0.291666666666667	1.16666666666667	1.82617788062462	0.815520906119141	0.42	1.4
	3.5	0.42	1.4	1.68200083904824	1.08206893377502	0.571666666666667	1.63333333333333
	3.5	0.571666666666667	1.63333333333333	1.46791385786372	1.35839202953038	0.746666666666667	1.86666666666667
	3.5	0.746666666666667	1.86666666666667	1.17148575803645	1.62099386757562	0.945	2.1
	3.5	0.945	2.1	0.786437359552716	1.83888995850751	1.16666666666667	2.33333333333333
	3.5	1.16666666666667	2.33333333333333	0.316917846228822	1.97473114087505	1.41166666666667	2.56666666666667
	4.5	0	0	1.99977500421872	0.0299988750126562	0.015	0.3
	4.5	0.015	0.3	1.99640107987041	0.119928012958889	0.06	0.6
	4.5	0.06	0.6	1.9818026624091	0.269180622014697	0.135	0.9
	4.5	0.135	0.9	1.94267594970406	0.475405252854269	0.24	1.2
	4.5	0.24	1.2	1.86101524382463	0.732545058172095	0.375	1.5
	4.5	0.375	1.5	1.71541736272765	1.02827198330623	0.54	1.8
	4.5	0.54	1.8	1.48366150680466	1.34117431127581	0.735	2.1
	4.5	0.735	2.1	1.14703997214491	1.638383136602	0.96	2.4
	4.5	0.96	2.4	0.696673855940434	1.87473879205853	1.215	2.7
	4.5	1.215	2.7	0.141474403335406	1.99498997320811	1.5	3
	4.5	1.5	3	-0.483567403233457	1.94066034290652	1.815	3.3
	5.5	0	0	1.99966389830301	0.0366646126888395	0.0183333333333333	0.366666666666667
	5.5	0.0183333333333333	0.366666666666667	1.99462463183139	0.146535245219288	0.0733333333333334	0.733333333333333
	5.5	0.0733333333333334	0.733333333333333	1.9728367106927	0.328504661980962	0.165	1.1
	5.5	0.165	1.1	1.91457075924399	0.578289553638921	0.293333333333333	1.46666666666667
	5.5	0.293333333333333	1.46666666666667	1.79358233235502	0.884908140466517	0.458333333333333	1.83333333333333
	5.5	0.458333333333333	1.83333333333333	1.57998446299473	1.22623370394687	0.66	2.2
	5.5	0.66	2.2	1.24582929833729	1.56457961107909	0.898333333333334	2.56666666666667
	5.5	0.898333333333334	2.56666666666667	0.774160707650804	1.84409197133158	1.17333333333333	2.93333333333333
	5.5	1.17333333333333	2.93333333333333	0.171382215192336	1.9926435045727	1.485	3.3
	5.5	1.485	3.3	-0.519062919237666	1.931469307515	1.83333333333333	3.66666666666667
	5.5	1.83333333333333	3.66666666666667	-1.20644764579286	1.59514390509473	2.21833333333333	4.03333333333333
